station_name,agency,latitude,longitude,GEOID,total_amenities,grocery,park,clinic,pharmacy,hospital,doctors,childcare,median_income,pct_no_vehicle,pct_nonwhite,total_pop,station_type
San Carlos,Caltrain,37.508033,-122.2602,6081609100,9,1,3,1,1,0,0,0,214038.0,0.7067137809187279,40.054127198917456,1478,core
San Francisco Caltrain Station,Caltrain,37.776404,-122.394911,6075060703,25,3,9,5,1,0,2,2,235371.0,29.243575823380382,52.28580562659847,6256,core
San Jose Diridon,Caltrain,37.329694,-121.903208,6085500300,19,1,4,1,0,0,0,0,116172.0,3.0339083878643662,51.66025024061598,4156,peripheral
San Martin,Caltrain,37.085984,-121.61048,6085512401,4,1,0,0,0,0,0,1,155431.0,0.0,39.45652173913044,4600,core
San Mateo,Caltrain,37.56824,-122.3239,6081606202,20,4,4,4,1,1,4,0,184326.0,10.720268006700168,80.946123521682,3805,core
Santa Clara Caltrain Station,Caltrain,37.353384,-121.936465,6085505203,7,0,3,0,1,0,1,0,117000.0,8.585858585858585,44.68590211833455,5476,core
South San Francisco Caltrain Station,Caltrain,37.655941416,-122.404979006,6081602300,12,1,4,0,0,0,0,1,155345.0,4.432348367029549,83.93301651957456,4419,core
Stanford,Caltrain,37.43895,-122.15715,6085511301,22,3,5,6,1,0,6,0,215625.0,7.611386138613861,41.01910828025478,3925,core
Sunnyvale,Caltrain,37.378934,-122.0315,6085508707,5,1,1,0,1,0,1,0,191439.0,14.51917033312382,71.16290602529135,4033,core
Tamien Caltrain Station,Caltrain,37.31269,-121.8847,6085503113,10,1,3,0,1,0,1,0,90188.0,13.629518072289155,62.15760640539402,4746,core
