station_name,station_id,agency,city,county,latitude,longitude,station_type,total_amenities,diversity_score,nearest_amenity_m,grocery,park,clinic,pharmacy,hospital,doctors,childcare,kindergartens,convenience,median_income,total_pop,total_households,households_no_vehicle,pct_no_vehicle,pct_nonwhite,GEOID,amenities_per_1000,healthcare_total,equity_flag,disadvantage_score,access_score,equity_concern
Millbrae,place_MLBR,Caltrain,,,37.5999,-122.38675,core,23,4,135.10187007981304,5,4,3,2,0,0,0,0,9,184107.0,3623,1349,9,0.6671608598962194,36.01987303339774,6081605200,6.3483301131658845,3,False,-0.6542909282287441,0.509068883024211,False
Stanford,stanford,Caltrain,,,37.43895,-122.15715,core,22,4,70.64501243244251,3,5,6,1,0,6,0,1,0,,0,0,0,,,6081990100,,6,False,-0.09971848670901091,0.4369804572812721,False
22nd Street,22nd_street,Caltrain,,,37.756972,-122.392492,core,22,3,60.960974883481576,0,10,1,1,0,1,0,0,9,148239.0,4075,1360,23,1.6911764705882353,72.46625766871165,6075033001,5.398773006134969,1,False,0.15043097447595305,0.4369804572812721,False
Fruitvale,FTVL,BART,Oakland,alameda,37.774836,-122.224175,core,21,3,98.09003655228364,4,4,6,0,0,0,0,0,7,92254.0,1612,1049,547,52.144899904671114,35.42183622828784,6075015201,13.027295285359802,6,False,0.8150639044594081,0.3648920315383331,False
North Berkeley,NBRK,BART,Berkeley,alameda,37.873967,-122.28344,core,21,2,100.67843456359113,0,11,1,0,0,0,0,1,8,116444.0,6879,2012,372,18.48906560636183,86.68411106265445,6075026100,3.0527692978630614,1,False,0.8721484537633167,0.3648920315383331,False
Redwood City,redwood_city,Caltrain,,,37.485865,-122.2315,core,21,4,59.88856799001692,4,5,3,2,1,1,0,0,5,180216.0,3929,1517,12,0.7910349373764008,18.37617714431153,6081613701,5.3448714685670655,4,False,-0.9146567022224469,0.3648920315383331,False
San Antonio,san_antonio,Caltrain,,,37.407239431,-122.107115562,core,20,4,131.278757821817,5,12,1,1,0,0,0,0,1,116548.0,4558,1014,22,2.169625246548323,81.5269855199649,6081611800,4.3878894251864855,1,False,0.48062290015573844,0.2928036057953941,False
San Mateo,san_mateo,Caltrain,,,37.56824,-122.3239,core,20,4,150.39522336841176,4,4,4,1,1,4,0,0,2,148724.0,5175,2090,31,1.4832535885167464,53.7584541062802,6081600100,3.864734299516908,5,False,-0.15752924073338762,0.2928036057953941,False
Morgan Hill,morgan_hill,Caltrain,,,37.129644,-121.650558,core,20,1,88.05470886348759,0,14,0,0,0,1,2,0,3,120889.0,6164,2442,210,8.5995085995086,72.55029201817001,6085506304,3.244646333549643,0,False,0.4333248073319642,0.2928036057953941,False
San Jose Diridon,sj_diridon,Caltrain,,,37.329694,-121.903208,core,19,3,178.1145270180085,1,4,1,0,0,0,0,3,10,196731.0,3892,1432,70,4.888268156424581,67.57451181911614,6085508601,4.881808838643371,1,False,-0.13615094078468046,0.22071518005245513,False
