station_name,agency,latitude,longitude,GEOID,median_income,pct_no_vehicle,pct_nonwhite,total_pop,geometry,total_amenities,grocery,park,clinic,pharmacy,hospital,doctors,childcare,convenience,kindergarten,station_type,ridership,need_pct,supply_pct,supply_gap,unmet_need_index,amenity_entropy
Fremont,BART,37.557465,-121.976608,06001441924,190826.0,3.37,82.55,7588,POINT (-121.976608 37.557465),15,2,1,1,3,3,2,0,1,0,core,2043.0,0.22784810126582278,0.6455696202531646,0.35443037974683544,0.08075628905624098,1.8446214763655029
Fruitvale,BART,37.774836,-122.224175,06001406100,73267.0,17.08,80.84,5810,POINT (-122.224175 37.774836),21,4,4,6,0,0,0,0,7,0,core,3998.0,0.810126582278481,0.7848101265822784,0.21518987341772156,0.17433103669283773,1.3558423068798682
Glen Park,BART,37.733064,-122.433817,06075031100,200545.0,10.79,58.22,6073,POINT (-122.433817 37.733064),13,3,6,1,1,0,0,0,2,0,core,3186.0,0.569620253164557,0.6012658227848101,0.3987341772151899,0.2271270629706778,1.377819508039033
Hayward,BART,37.669723,-122.087018,06001436302,96233.0,2.22,76.97,3712,POINT (-122.087018 37.669723),10,1,4,0,1,0,0,0,4,0,core,2294.0,0.11392405063291139,0.4240506329113924,0.5759493670886076,0.06561448485819579,1.1935496040981333
Lafayette,BART,37.893176,-122.12463,06013348000,250001.0,1.12,21.79,4888,POINT (-122.12463 37.893176),11,4,4,1,0,0,0,0,2,0,peripheral,1641.0,0.0759493670886076,0.5126582278481012,0.4873417721518988,0.037013299150777126,1.2636544318820966
Lake Merritt,BART,37.797027,-122.26518,06001403302,144813.0,12.28,61.94,2819,POINT (-122.26518 37.797027),38,6,5,6,3,0,3,3,11,0,core,2855.0,0.6329113924050633,0.9113924050632911,0.08860759493670889,0.05608075628905626,1.8321973236792992
MacArthur,BART,37.829065,-122.26704,06001401100,96599.0,18.16,62.04,5722,POINT (-122.26704 37.829065),10,0,3,0,0,0,0,0,6,0,core,3762.0,0.8354430379746836,0.4240506329113924,0.5759493670886076,0.4811728889601025,0.6365141682948128
Millbrae,BART,37.600271,-122.386702,06081604400,133654.0,6.82,73.18,5131,POINT (-122.386702 37.600271),23,5,4,3,2,0,0,0,9,0,core,1773.0,0.3987341772151899,0.8291139240506329,0.1708860759493671,0.06813811889120334,1.4811672841987036
Milpitas,BART,37.410277,-121.891081,06085504509,181165.0,3.07,95.16,4921,POINT (-121.891081 37.410277),8,1,3,0,0,0,1,0,3,0,peripheral,1238.0,0.189873417721519,0.3037974683544304,0.6962025316455696,0.13219035410991828,1.2554823251787535
Montgomery St.,BART,37.789405,-122.401066,06075061501,229363.0,29.53,54.78,1862,POINT (-122.401066 37.789405),49,4,14,8,5,0,2,1,14,0,core,14342.0,0.8734177215189873,0.9493670886075949,0.05063291139240511,0.04422368210222725,1.67312186652381
