,station_id,name,latitude,longitude,address,city,county,zipcode,agency,mode,geometry
65,morgan_hill,Morgan Hill,37.129644,-121.650558,,,,,Caltrain,Commuter Rail,POINT (-121.650558 37.129644)
66,mountain_view,Mountain View,37.395067,-122.07722,,,,,Caltrain,Commuter Rail,POINT (-122.07722 37.395067)
67,palo_alto,Palo Alto,37.44322,-122.16429,,,,,Caltrain,Commuter Rail,POINT (-122.16429 37.44322)
68,redwood_city,Redwood City,37.485865,-122.2315,,,,,Caltrain,Commuter Rail,POINT (-122.2315 37.485865)
69,san_antonio,San Antonio,37.407239431,-122.107115562,,,,,Caltrain,Commuter Rail,POINT (-122.107115562 37.407239431)
70,san_bruno,San Bruno Caltrain Station,37.630460335,-122.411709042,,,,,Caltrain,Commuter Rail,POINT (-122.411709042 37.630460335)
71,san_carlos,San Carlos,37.508033,-122.2602,,,,,Caltrain,Commuter Rail,POINT (-122.2602 37.508033)
72,san_francisco,San Francisco Caltrain Station,37.776404,-122.394911,,,,,Caltrain,Commuter Rail,POINT (-122.394911 37.776404)
73,sj_diridon,San Jose Diridon,37.329694,-121.903208,,,,,Caltrain,Commuter Rail,POINT (-121.903208 37.329694)
74,san_martin,San Martin,37.085984,-121.61048,,,,,Caltrain,Commuter Rail,POINT (-121.61048 37.085984)
75,san_mateo,San Mateo,37.56824,-122.3239,,,,,Caltrain,Commuter Rail,POINT (-122.3239 37.56824)
76,santa_clara,Santa Clara Caltrain Station,37.353384,-121.936465,,,,,Caltrain,Commuter Rail,POINT (-121.936465 37.353384)
77,south_sf,South San Francisco Caltrain Station,37.655941416,-122.404979006,,,,,Caltrain,Commuter Rail,POINT (-122.404979006 37.655941416)
78,stanford,Stanford,37.43895,-122.15715,,,,,Caltrain,Commuter Rail,POINT (-122.15715 37.43895)
79,sunnyvale,Sunnyvale,37.378934,-122.0315,,,,,Caltrain,Commuter Rail,POINT (-122.0315 37.378934)
80,tamien,Tamien Caltrain Station,37.31269,-121.8847,,,,,Caltrain,Commuter Rail,POINT (-121.8847 37.31269)
