,Unnamed: 0,station_id_x,name,latitude,longitude,address,city,county,zipcode,agency,mode,geometry,station_id_y,station_type
36,36,PHIL,Pleasant Hill/Contra Costa Centre,37.928468,-122.056012,1365 Treat Blvd.,Walnut Creek,contracosta,94597.0,BART,Heavy Rail,POINT (-122.056012 37.928468),Pleasant Hill/Contra Costa Centre,core
37,37,POWL,Powell St.,37.784471,-122.407974,899 Market Street,San Francisco,sanfrancisco,94102.0,BART,Heavy Rail,POINT (-122.407974 37.784471),Powell St.,core
38,38,RICH,Richmond,37.936853,-122.353099,1700 Nevin Avenue,Richmond,contracosta,94801.0,BART,Heavy Rail,POINT (-122.353099 37.936853),Richmond,peripheral
39,39,ROCK,Rockridge,37.844702,-122.251371,5660 College Avenue,Oakland,alameda,94618.0,BART,Heavy Rail,POINT (-122.251371 37.844702),Rockridge,core
40,40,SBRN,San Bruno,37.637761,-122.416287,1151 Huntington Avenue,San Bruno,sanmateo,94066.0,BART,Heavy Rail,POINT (-122.416287 37.637761),San Bruno,peripheral
41,41,SFIA,San Francisco International Airport,37.615966,-122.392409,"International Terminal, Level 3",San Francisco Int'l Airport,sanmateo,94128.0,BART,Heavy Rail,POINT (-122.392409 37.615966),San Francisco International Airport,core
42,42,SANL,San Leandro,37.721947,-122.160844,1401 San Leandro Blvd.,San Leandro,alameda,94577.0,BART,Heavy Rail,POINT (-122.160844 37.721947),San Leandro,core
43,43,SHAY,South Hayward,37.634375,-122.057189,28601 Dixon Street,Hayward,alameda,94544.0,BART,Heavy Rail,POINT (-122.057189 37.634375),South Hayward,peripheral
44,44,SSAN,South San Francisco,37.664245,-122.44396,1333 Mission Road,South San Francisco,sanmateo,94080.0,BART,Heavy Rail,POINT (-122.44396 37.664245),South San Francisco,peripheral
45,45,UCTY,Union City,37.59063,-122.017388,10 Union Square,Union City,alameda,94587.0,BART,Heavy Rail,POINT (-122.017388 37.59063),Union City,peripheral
46,46,WCRK,Walnut Creek,37.905522,-122.067527,200 Ygnacio Valley Road,Walnut Creek,contracosta,94596.0,BART,Heavy Rail,POINT (-122.067527 37.905522),Walnut Creek,core
