,station,geoid,state_x,county_x,tract_x,tract_name,Unnamed: 0,station_id_x,name,latitude,longitude,address,city,county_y,zipcode,agency,mode,geometry,station_id_y,station_type,NAME,total_pop,median_age,total_pop_race,white_alone,black_alone,aian_alone,asian_alone,nhpi_alone,other_race_alone,two_or_more_races,median_household_income,per_capita_income,total_pop_poverty_calc,pop_below_poverty,total_housing_units,total_occupied_units,owner_occupied,renter_occupied,total_households,owner_occ_no_vehicle,renter_occ_no_vehicle,median_gross_rent,median_home_value,total_workers_16plus,drove_alone,public_transit_commuters,bicycle_commuters,walked_commuters,worked_from_home,aggregate_travel_time_mins,labor_force,employed,unemployed,pop_25plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,foreign_born,total_pop_nativity,state_y,county,tract_y,GEOID,county_name,households_no_vehicle,pct_no_vehicle,pop_nonwhite,pct_nonwhite,pct_white,pct_black,pct_asian,poverty_rate,pct_renter,pct_owner,pct_transit_commute,pct_drove_alone,pct_bike_commute,pct_walk_commute,pct_wfh,mean_travel_time_mins,unemployment_rate,pop_bachelors_plus,pct_bachelors_plus,pct_foreign_born
70,San Bruno Caltrain Station,06081604104,06,081,604104,Census Tract 6041.04,70,san_bruno,San Bruno Caltrain Station,37.630460335,-122.411709042,,,,,Caltrain,Commuter Rail,POINT (-122.411709042 37.630460335),San Bruno Caltrain Station,peripheral,Census Tract 6041.04; San Mateo County; California,3372,39.4,3372,747,8,0,520,152,1559,386,130077.0,45226.0,3335,189,1207,1092,522,570,1092,66,19,2349.0,851200.0,1954,1062,154,263,28,181,,2144,1965,179,2404,302,90,59,15,1508,3372,6,81,604104,06081604104,San Mateo,85,7.78,2625,77.85,22.15,0.24,15.42,5.67,52.2,47.8,7.88,54.35,13.46,1.43,9.26,,8.35,466,19.38,44.72
71,San Carlos,06081609100,06,081,609100,Census Tract 6091,71,san_carlos,San Carlos,37.508033,-122.2602,,,,,Caltrain,Commuter Rail,POINT (-122.2602 37.508033),San Carlos,peripheral,Census Tract 6091; San Mateo County; California,1541,39.3,1541,766,2,7,496,4,135,131,242750.0,123118.0,1541,80,618,561,422,139,561,0,5,3501.0,1683500.0,904,420,26,0,12,392,12645.0,976,904,72,1102,303,227,57,45,498,1541,6,81,609100,06081609100,San Mateo,5,0.89,775,50.29,49.71,0.13,32.19,5.19,24.78,75.22,2.88,46.46,0.0,1.33,43.36,13.99,7.38,632,57.35,32.32
72,San Francisco Caltrain Station,06075060703,06,075,060703,Census Tract 607.03,72,san_francisco,San Francisco Caltrain Station,37.776404,-122.394911,,,,,Caltrain,Commuter Rail,POINT (-122.394911 37.776404),San Francisco Caltrain Station,core,Census Tract 607.03; San Francisco County; California,6388,36.8,6388,2684,327,37,2507,136,213,484,179727.0,104261.0,6324,557,2954,2807,1059,1748,2807,118,790,3453.0,921200.0,4330,710,1019,107,883,1569,82585.0,4578,4388,190,4815,1654,1269,209,265,2345,6388,6,75,60703,06075060703,San Francisco,908,32.35,3704,57.98,42.02,5.12,39.25,8.81,62.27,37.73,23.53,16.4,2.47,20.39,36.24,19.07,4.15,3397,70.55,36.71
73,San Jose Diridon,06085500300,06,085,500300,Census Tract 5003,73,sj_diridon,San Jose Diridon,37.329694,-121.903208,,,,,Caltrain,Commuter Rail,POINT (-121.903208 37.329694),San Jose Diridon,core,Census Tract 5003; Santa Clara County; California,4195,37.0,4195,1736,395,165,704,0,703,492,107431.0,80154.0,4184,401,2028,1872,568,1304,1872,0,51,2885.0,1095000.0,2637,1314,187,28,98,748,46395.0,2944,2701,243,3522,1473,433,103,167,1178,4195,6,85,500300,06085500300,Santa Clara,51,2.72,2459,58.62,41.38,9.42,16.78,9.58,69.66,30.34,7.09,49.83,1.06,3.72,28.37,17.59,8.25,2176,61.78,28.08
74,San Martin,06085512401,06,085,512401,Census Tract 5124.01,74,san_martin,San Martin,37.085984,-121.61048,,,,,Caltrain,Commuter Rail,POINT (-121.61048 37.085984),San Martin,peripheral,Census Tract 5124.01; Santa Clara County; California,3961,50.9,3961,1870,133,9,267,0,227,1455,197540.0,77183.0,3918,483,1463,1309,1064,245,1309,23,0,1743.0,1522700.0,2024,1439,0,0,91,378,,2115,2052,63,3046,704,212,115,0,1028,3961,6,85,512401,06085512401,Santa Clara,23,1.76,2091,52.79,47.21,3.36,6.74,12.33,18.72,81.28,0.0,71.1,0.0,4.5,18.68,,2.98,1031,33.85,25.95
75,San Mateo,06081606202,06,081,606202,Census Tract 6062.02,75,san_mateo,San Mateo,37.56824,-122.3239,,,,,Caltrain,Commuter Rail,POINT (-122.3239 37.56824),San Mateo,peripheral,Census Tract 6062.02; San Mateo County; California,3428,33.1,3428,632,14,0,901,15,957,909,138250.0,77701.0,3399,120,1262,1209,475,734,1209,15,116,3062.0,1092900.0,1935,1018,80,26,48,373,52240.0,2043,1982,61,2472,565,349,85,99,1413,3428,6,81,606202,06081606202,San Mateo,131,10.84,2796,81.56,18.44,0.41,26.28,3.53,60.71,39.29,4.13,52.61,1.34,2.48,19.28,27.0,2.99,1098,44.42,41.22
76,Santa Clara Caltrain Station,06085505203,06,085,505203,Census Tract 5052.03,76,santa_clara,Santa Clara Caltrain Station,37.353384,-121.936465,,,,,Caltrain,Commuter Rail,POINT (-121.936465 37.353384),Santa Clara Caltrain Station,peripheral,Census Tract 5052.03; Santa Clara County; California,5725,22.5,5725,2794,250,23,1700,35,213,710,139028.0,54862.0,3500,974,1593,1519,800,719,1519,38,103,3266.0,1198700.0,2920,1046,225,49,626,781,49895.0,3275,3084,191,2480,994,581,138,76,1368,5725,6,85,505203,06085505203,Santa Clara,141,9.28,2931,51.2,48.8,4.37,29.69,27.83,47.33,52.67,7.71,35.82,1.68,21.44,26.75,17.09,5.83,1789,72.14,23.9
77,South San Francisco Caltrain Station,06081602300,06,081,602300,Census Tract 6023,77,south_sf,South San Francisco Caltrain Station,37.655941416,-122.404979006,,,,,Caltrain,Commuter Rail,POINT (-122.404979006 37.655941416),South San Francisco Caltrain Station,peripheral,Census Tract 6023; San Mateo County; California,4245,37.9,4245,775,84,0,1280,157,759,1190,146750.0,66247.0,4240,525,1553,1409,803,606,1409,52,44,3054.0,1144800.0,2618,1637,110,28,17,459,55550.0,2778,2699,79,2971,786,291,0,94,1687,4245,6,81,602300,06081602300,San Mateo,96,6.81,3470,81.74,18.26,1.98,30.15,12.38,43.01,56.99,4.2,62.53,1.07,0.65,17.53,21.22,2.84,1171,39.41,39.74
78,Stanford,06085511301,06,085,511301,Census Tract 5113.01,78,stanford,Stanford,37.43895,-122.15715,,,,,Caltrain,Commuter Rail,POINT (-122.15715 37.43895),Stanford,peripheral,Census Tract 5113.01; Santa Clara County; California,4163,48.2,4163,2381,304,1,677,0,42,758,238750.0,136260.0,4069,139,1925,1670,824,846,1670,23,101,3463.0,2000001.0,2131,713,57,165,93,997,,2235,2159,76,3129,1072,1009,268,287,967,4163,6,85,511301,06085511301,Santa Clara,124,7.43,1782,42.81,57.19,7.3,16.26,3.42,50.66,49.34,2.67,33.46,7.74,4.36,46.79,,3.4,2636,84.24,23.23
79,Sunnyvale,06085508707,06,085,508707,Census Tract 5087.07,79,sunnyvale,Sunnyvale,37.378934,-122.0315,,,,,Caltrain,Commuter Rail,POINT (-122.0315 37.378934),Sunnyvale,peripheral,Census Tract 5087.07; Santa Clara County; California,3907,33.1,3907,825,37,43,2172,0,341,489,173165.0,103876.0,3907,273,1698,1573,653,920,1573,21,122,2639.0,1530200.0,2524,1036,105,108,47,908,40040.0,2747,2562,185,3080,852,1088,14,114,1922,3907,6,85,508707,06085508707,Santa Clara,143,9.09,3082,78.88,21.12,0.95,55.59,6.99,58.49,41.51,4.16,41.05,4.28,1.86,35.97,15.86,6.73,2068,67.14,49.19
80,Tamien Caltrain Station,06085503113,06,085,503113,Census Tract 5031.13,80,tamien,Tamien Caltrain Station,37.31269,-121.8847,,,,,Caltrain,Commuter Rail,POINT (-121.8847 37.31269),Tamien Caltrain Station,peripheral,Census Tract 5031.13; Santa Clara County; California,4028,35.9,4028,864,48,53,351,0,1963,749,95625.0,44893.0,4028,186,1337,1308,486,822,1308,21,150,2048.0,1065000.0,2237,1361,43,61,0,295,59800.0,2343,2274,69,3017,600,96,36,13,1541,4028,6,85,503113,06085503113,Santa Clara,171,13.07,3164,78.55,21.45,1.19,8.71,4.62,62.84,37.16,1.92,60.84,2.73,0.0,13.19,26.73,2.94,745,24.69,38.26
